eps,total_images,nn2_clean_correct_images,nn2_clean_accuracy_all,nn2_robust_accuracy_clean_correct,nn2_robust_accuracy_all,transfer_asr_clean_correct,prediction_change_rate_clean_correct
0.025,915,890,0.9726775956284153,0.38764044943820225,0.3770491803278688,0.6123595505617978,0.6123595505617978
0.05,915,890,0.9726775956284153,0.15842696629213482,0.1540983606557377,0.8415730337078652,0.8415730337078652
0.075,915,890,0.9726775956284153,0.0696629213483146,0.06775956284153005,0.9303370786516854,0.9303370786516854
0.1,915,890,0.9726775956284153,0.029213483146067417,0.02841530054644809,0.9707865168539326,0.9707865168539326
0.15,915,890,0.9726775956284153,0.0044943820224719105,0.004371584699453552,0.9955056179775281,0.9955056179775281
0.2,915,890,0.9726775956284153,0.0,0.0,1.0,1.0
